Scenario,EV_quantile,EV_cut,Profit_Target,Max_Holding_Days,Actual_Max_Holding_Days,Stop_Level,Total_Return,Seed_Multiple,Max_Drawdown,Max_Loss_Rate,Idle_Days,Success_Rate,Cycle_Count
2,0.65,0.0550199934282885,0.05,20,20.0,-0.1,0.4274175925890442,1.4274175925890442,-0.04126564228610861,-0.1000000000000001,110.0,0.8118811881188119,303.0
2,0.75,0.0608301956165016,0.15,30,30.0,-0.1,0.42669252305999206,1.426692523059992,-0.02464542905542022,-0.10000000000000014,235.0,0.6956521739130435,138.0
2,0.7,0.0590911260249736,0.1,30,30.0,-0.05,0.42596194720164715,1.4259619472016472,-0.0280956140645726,-0.05000000000000021,138.0,0.7470588235294118,170.0
2,0.75,0.0608301956165016,0.1,30,30.0,-0.05,0.4197436329106734,1.4197436329106734,-0.027440513490785978,-0.050000000000000176,258.0,0.7530120481927711,166.0
2,0.7,0.0590911260249736,0.05,20,20.0,-0.1,0.4189388457215537,1.4189388457215537,-0.04135365318341512,-0.10000000000000014,181.0,0.8114478114478114,297.0
2,0.75,0.0608301956165016,0.05,30,30.0,0.0,0.4056555544677585,1.4056555544677585,-0.025211852799180184,0.0,317.0,0.8429752066115702,242.0
2,0.7,0.0590911260249736,0.05,30,30.0,0.0,0.3905429900563604,1.3905429900563604,-0.02521185728154963,-1.5880997224787115e-16,167.0,0.8326359832635983,239.0
2,0.65,0.0550199934282885,0.15,30,30.0,-0.1,0.3897995665916556,1.3897995665916556,-0.028324739957034155,-0.10000000000000012,59.0,0.6690140845070423,142.0
2,0.7,0.0590911260249736,0.15,30,30.0,-0.1,0.3758121163817434,1.3758121163817434,-0.030334565822274746,-0.10000000000000014,98.0,0.6642857142857143,140.0
2,0.65,0.0550199934282885,0.1,30,30.0,-0.1,0.3710527187317918,1.3710527187317918,-0.02781181168462213,-0.10000000000000013,98.0,0.7586206896551724,174.0
2,0.75,0.0608301956165016,0.1,30,30.0,-0.1,0.35252088077163934,1.3525208807716393,-0.03067621721533874,-0.10000000000000009,258.0,0.7530120481927711,166.0
2,0.65,0.0550199934282885,0.05,30,30.0,-0.05,0.3519529551165277,1.3519529551165277,-0.026839208198544264,-0.05000000000000015,98.0,0.8509803921568627,255.0
